Age,Annual Income,Credit Score,Loan Amount,Existing Loan,Debt to Income,Has Default
44,70374,558,31499.51,1,0.31,0
69,44014,634,49703.75,0,0.1,0
30,100308,384,44649.25,1,0.72,0
58,66389,821,29134.84,0,0.63,0
20,130163,607,49566.85,0,0.83,1
56,38161,561,36561.64,0,0.14,1
23,127800,751,14391.52,0,0.94,1
25,27490,550,23251.83,0,0.4,1
44,139547,623,20052.2,1,0.92,0
26,127197,528,20480.62,0,0.2,1
54,44502,596,39220.54,0,0.77,1
50,55757,536,31291.83,0,0.62,1
68,61111,516,6714.17,0,0.42,0
59,118273,545,44485.18,0,0.17,1
61,103245,747,18355.83,0,0.64,1
41,78645,618,49868.37,1,0.12,0
32,130218,731,47938.58,1,0.55,0
49,79055,703,47323.88,0,0.64,0
49,139815,336,41500.74,0,0.76,0
41,28998,641,14927.6,0,0.99,1
58,48906,688,28968.47,0,0.33,1
69,121026,333,15093.62,0,0.39,1
66,90192,338,16685.4,1,0.41,1
66,70477,508,32492.83,1,0.76,1
69,56901,451,6837.51,1,0.94,0
29,111271,664,48625.64,1,0.98,1
56,72021,498,46340.29,1,0.95,1
19,49092,378,22134.54,1,0.89,1
20,21242,776,28194.01,0,0.99,0
66,126843,733,25975.37,0,0.44,0
54,21831,331,44698.99,1,0.95,0
66,70721,386,35987.08,0,0.78,1
34,48511,692,17515.01,1,0.25,1
66,92782,543,25107.86,1,0.14,0
19,117003,531,24303.47,1,0.29,1
19,38302,491,48170.08,0,0.8,0
45,75568,839,12888.99,0,0.67,0
40,23232,569,9030.94,1,0.3,1
54,122062,376,44627.85,0,0.77,0
49,124301,466,45350.87,1,0.23,0
50,71507,583,44228.26,0,0.84,0
18,144277,388,27993.96,0,0.81,0
36,149999,843,34688.5,1,0.98,1
19,96508,455,30351.34,1,0.24,1
61,133672,549,8125.15,1,0.92,0
43,120128,394,31812.57,1,0.41,0
49,30683,316,5612.64,0,0.47,0
23,43664,416,19624.43,1,0.52,0
49,122364,632,46953.17,0,0.66,1
21,140012,821,18682.04,1,1.0,0
28,53172,379,47292.2,0,0.64,0
34,103641,731,16256.03,1,0.93,0
55,84340,502,19155.3,1,0.33,0
41,107236,415,33278.34,1,0.46,0
22,31017,519,39273.21,0,0.55,1
69,56613,552,27562.45,0,0.39,0
51,106130,468,44695.21,1,0.98,0
23,96920,615,6810.82,0,0.75,1
39,50348,671,46498.77,1,0.53,1
28,36448,455,13833.85,0,0.78,0
65,29491,312,44790.74,1,0.52,0
33,98648,807,23038.84,1,0.12,1
50,141070,764,42474.07,0,0.59,1
26,116557,519,35224.95,0,0.66,0
23,78759,314,12917.37,0,0.98,0
33,64553,416,46312.14,1,0.14,0
46,20968,630,16048.28,0,0.56,1
20,20368,355,15986.31,0,0.19,1
37,93960,650,41638.05,0,0.23,0
53,55010,431,9764.3,0,0.65,0
36,74154,525,14991.62,0,0.31,1
43,55851,607,27665.49,1,0.77,0
20,142761,774,42371.47,1,0.56,0
36,45496,521,11636.78,0,0.3,1
37,143568,472,29645.07,1,0.54,0
49,147152,639,37005.83,0,0.1,1
24,50936,805,43726.79,0,0.88,1
69,98858,456,47100.45,1,0.11,1
58,87005,450,40308.8,1,0.11,1
50,57493,477,34377.28,1,0.65,0
57,89795,832,24512.9,1,0.98,1
56,56390,411,10044.96,1,0.87,1
35,30292,437,36938.17,1,0.33,0
57,112377,532,49673.18,1,0.28,0
18,48365,631,38154.23,0,0.66,1
28,37207,841,5752.0,0,0.84,0
45,121735,606,27331.7,0,0.43,0
42,42912,460,32659.1,1,0.49,0
67,122455,701,36035.34,0,0.2,0
40,122517,577,37387.66,0,0.24,1
48,100771,619,30114.88,0,0.61,0
47,76572,832,15051.21,0,0.19,0
59,127293,796,47399.03,1,0.28,1
52,119083,662,36349.99,0,0.31,1
24,133655,671,15657.8,0,0.5,1
33,129346,335,19504.48,0,0.14,0
43,39276,602,46486.75,0,0.55,0
65,117459,737,44936.83,0,0.94,1
69,25534,331,23231.59,1,0.12,0
66,112005,485,6723.82,0,0.67,0
19,121610,473,7182.38,0,0.85,1
18,55670,549,17776.32,0,0.38,0
65,82147,578,33310.5,0,0.22,1
29,118099,301,31288.76,0,0.14,1
22,131695,493,33522.25,0,0.68,0
54,56486,465,37277.73,1,0.6,0
49,85557,409,5856.45,0,0.31,0
26,54268,679,9728.85,0,0.85,0
58,127338,584,21176.76,1,0.76,1
52,101335,720,11968.7,1,0.35,1
36,46336,412,8389.4,0,0.78,0
65,23641,527,33843.4,0,0.32,0
33,107132,770,41690.14,1,0.71,0
20,52959,827,38868.2,0,0.21,1
37,33306,795,41766.79,1,0.72,1
41,66182,330,34963.54,0,0.31,0
50,94123,461,38090.54,0,0.62,1
41,76326,677,17230.04,0,0.26,0
69,116895,745,49685.36,1,0.75,0
28,41498,726,13242.45,1,0.15,0
66,90198,803,14652.22,1,0.25,1
25,122630,826,18001.48,1,0.27,0
53,127369,831,48889.96,0,0.14,1
55,47197,819,49472.99,0,0.77,0
57,40719,333,40770.22,1,0.98,1
37,110201,789,33307.59,1,0.8,0
52,128775,722,28402.82,1,0.87,0
65,45032,767,48677.94,1,0.11,0
42,79624,323,36303.03,0,0.21,1
52,98177,515,47512.86,1,0.6,1
42,61964,354,19244.79,0,0.98,0
46,50028,325,20019.87,1,0.69,0
35,131030,580,43462.61,0,0.44,1
63,74646,626,11743.47,1,0.23,0
35,101187,485,47566.75,0,0.24,1
19,28536,794,27836.35,0,0.43,1
52,137399,311,46688.62,0,0.74,1
33,76747,733,20155.68,0,0.13,1
58,65712,507,37218.15,0,0.87,1
53,26273,432,26729.38,0,0.95,0
50,91820,638,33206.16,0,0.9,0
21,145342,495,27696.76,0,0.92,0
50,111228,561,48520.2,0,0.11,1
31,94353,581,36144.74,1,0.98,1
38,114491,668,16309.35,1,0.43,0
65,112091,402,45935.46,0,0.88,1
37,105914,482,18231.34,1,0.27,0
25,70830,722,21722.23,1,0.5,1
24,126718,308,9595.57,0,0.14,0
20,37127,543,45498.49,0,0.14,1
34,135150,692,17875.04,1,0.95,0
50,103488,826,16651.29,0,0.83,1
65,31539,336,46411.82,0,0.58,0
29,66761,477,41248.71,0,0.57,0
68,66219,371,11348.55,1,0.77,1
39,34692,651,39619.6,1,0.41,1
39,103656,448,46086.49,1,0.79,1
63,33334,404,8533.0,0,0.54,1
47,48615,520,42134.67,0,0.67,1
55,27903,673,29633.9,0,0.97,1
55,48527,817,35113.89,0,0.52,1
62,35629,559,27178.45,0,0.48,1
68,141690,598,36401.14,1,0.92,1
25,78008,341,6534.4,0,0.91,1
44,103276,791,39321.8,1,0.99,1
44,119318,738,6500.47,0,0.6,1
51,46708,346,25488.49,1,0.41,0
38,30860,384,11793.42,0,0.32,1
47,37438,357,42060.84,0,0.13,0
50,87300,508,19114.74,0,0.75,0
45,149263,547,25434.21,0,0.31,1
64,91545,510,24293.78,1,0.65,1
50,40842,338,39762.59,0,0.92,0
22,80213,551,26651.5,1,0.96,0
65,62372,712,40503.13,1,0.1,0
36,134316,745,8307.87,1,0.39,0
21,118971,351,13621.73,0,0.85,0
52,88906,673,29819.04,0,0.58,0
66,58744,825,47618.97,1,0.83,0
34,136082,455,8364.1,0,0.87,1
61,77442,841,6938.79,1,0.5,0
45,149070,389,12044.78,1,0.42,0
47,105990,650,33851.89,0,0.51,1
46,141670,368,22954.68,0,0.69,1
63,126917,462,42149.86,1,0.43,0
23,123903,541,8236.99,1,0.8,0
52,23650,794,13838.63,0,0.91,1
58,65117,682,18501.19,0,0.35,0
54,111244,351,33202.85,0,0.97,1
41,128198,362,35832.77,1,0.66,0
46,72772,808,10589.15,1,0.89,1
66,23190,591,47471.21,1,0.19,1
63,68113,390,20346.99,0,0.33,0
48,28789,723,37092.59,1,0.39,0
52,52125,664,28589.35,1,0.37,1
50,118695,449,15024.12,1,0.25,0
69,37459,570,43080.27,0,0.88,0
38,55418,415,41820.71,1,0.48,0
49,131904,815,22823.23,0,0.97,1
40,67085,540,31487.34,1,0.63,1
50,38768,329,16602.16,1,0.22,0
20,69961,442,36043.32,0,0.59,1
35,101099,625,18906.21,0,0.99,1
42,142735,315,42983.54,0,0.61,1
59,47885,410,14782.33,1,0.1,1
48,107421,406,5666.15,0,0.94,1
20,81082,678,17082.86,1,0.31,1
57,26895,461,13597.36,1,0.72,0
63,70311,582,27872.89,0,0.56,0
41,109494,568,14166.65,0,0.39,0
67,87067,783,39343.54,0,0.35,1
49,91017,372,15861.68,0,0.94,0
64,43932,496,36813.57,1,0.92,1
39,41360,542,31031.19,1,0.56,0
40,74847,558,49381.24,0,0.33,0
19,129178,448,49995.54,0,0.19,0
44,110365,689,44128.67,1,0.24,1
59,105468,715,39199.25,1,0.57,0
19,146065,725,22390.54,0,0.38,1
43,58931,516,38897.45,1,0.14,0
34,75823,385,48050.4,1,0.51,1
57,58032,515,6051.99,1,0.77,0
50,135919,722,29206.16,1,0.9,0
26,101426,619,14809.92,1,0.63,1
60,38807,417,30104.43,1,0.75,0
65,31767,714,25990.12,1,0.43,0
56,28071,339,30909.59,1,0.55,1
46,73413,460,29793.3,0,0.76,1
59,46149,836,48204.82,1,0.75,1
43,35540,719,29848.37,0,0.48,1
52,121212,394,43080.44,0,0.59,1
67,90248,741,19391.91,0,0.93,0
42,141443,765,24714.53,0,0.67,1
41,111737,587,26168.61,0,0.68,1
30,130494,711,17542.76,1,0.81,0
24,138571,699,22090.56,0,0.2,1
53,105435,827,31933.09,1,0.57,0
62,39787,317,31108.45,0,0.96,0
37,40982,435,33639.59,1,0.43,0
18,139696,763,20831.81,1,0.37,0
25,42606,547,19212.42,0,0.64,1
63,147560,300,32522.8,1,0.3,0
33,30150,680,10978.78,0,0.6,0
31,105929,808,16386.42,1,0.24,0
29,137423,759,6895.75,1,0.62,0
68,122795,804,8267.49,0,0.64,0
40,132223,775,15952.25,1,0.48,1
32,66936,331,5878.82,1,0.44,0
45,113286,417,16043.48,1,0.32,0
51,28593,483,34473.93,1,0.4,1
19,37358,490,7749.82,1,0.55,1
49,102143,373,24653.15,1,0.32,0
40,57381,402,46089.9,0,0.8,1
39,141465,719,40607.82,1,0.74,1
68,110347,772,18744.69,0,0.34,0
42,48074,413,46616.25,1,0.19,1
39,40595,678,19834.09,0,0.1,0
39,64194,612,8263.2,1,0.64,0
66,69377,629,49732.52,0,0.29,0
69,46853,638,44151.01,1,0.11,1
59,93719,537,25966.98,0,0.42,1
23,40661,472,34986.94,0,0.97,0
32,70493,378,35205.26,0,0.72,0
60,138724,763,13751.7,1,0.87,0
54,126705,800,14002.19,1,0.23,0
50,56495,584,26131.13,1,0.17,1
25,33703,522,46020.79,0,0.11,1
61,73080,565,5449.72,1,0.96,0
61,50815,672,40212.75,0,0.37,0
22,49565,532,7588.71,1,0.51,1
56,83321,535,26520.0,0,0.46,1
21,137491,613,33704.28,0,0.76,0
23,78453,679,35904.17,0,0.38,0
62,108478,719,7631.57,1,0.58,0
49,128522,351,23837.16,0,1.0,1
69,53161,808,31272.68,1,0.5,0
47,75991,504,7972.05,0,0.6,0
64,134296,556,11079.26,1,0.55,0
52,127339,484,34864.2,0,0.82,0
57,29716,444,28473.72,0,0.34,1
69,127099,313,12282.29,0,0.25,0
33,53349,545,29085.77,1,0.78,0
30,67098,486,46071.16,0,0.47,0
67,128435,636,5701.44,0,0.92,0
59,20132,558,33918.52,1,0.68,0
47,71990,339,8314.27,1,0.61,1
36,133288,717,5290.22,0,0.16,0
34,88921,650,11779.45,1,0.76,0
36,56538,308,24030.8,1,0.72,1
45,120572,649,41105.48,0,0.68,1
43,119279,383,17680.35,1,0.34,0
54,125909,832,33155.29,0,0.95,0
43,27213,657,23502.05,0,0.39,1
40,144693,677,15544.93,0,0.24,0
26,64223,471,28141.12,1,0.99,1
29,111655,324,40885.9,1,0.77,1
18,88371,692,42462.16,0,0.47,1
18,88274,402,43093.38,0,0.94,0
64,127853,535,20235.1,1,0.18,0
51,24134,709,40705.52,1,0.18,1
49,111428,848,14548.03,0,0.71,1
65,59601,631,38229.13,0,0.26,0
42,93889,831,47677.3,0,0.93,0
57,35690,328,5618.47,1,0.86,1
62,21909,842,24816.38,0,0.38,1
18,111239,318,34149.69,1,0.9,1
33,100032,447,36579.91,0,0.14,0
56,32062,770,12923.95,1,0.59,0
22,95386,790,48748.25,1,0.94,0
39,113237,582,32686.94,0,0.87,1
46,54731,412,12395.33,1,0.42,0
20,25153,754,5923.51,1,0.26,1
29,30481,629,40246.89,0,0.29,0
43,119270,554,8586.71,1,0.56,0
33,86425,698,11347.29,1,0.64,1
68,83600,807,30867.35,0,0.13,1
54,104981,765,32157.75,1,0.47,0
39,91997,706,35909.92,1,0.85,0
46,124470,397,22708.13,0,0.5,1
31,48205,589,39825.44,0,0.25,1
45,108887,455,48846.14,0,0.96,1
22,101542,461,17199.27,1,0.34,0
64,64149,396,36636.29,0,0.82,1
66,69112,676,46781.09,0,0.27,1
47,30940,749,35882.9,0,0.48,1
63,79010,416,35649.93,0,0.54,1
69,96794,805,15069.77,0,0.55,1
22,44485,488,29080.86,0,0.56,0
29,109299,775,30313.53,0,0.3,0
33,144321,622,36505.83,1,0.56,1
43,125584,479,49856.97,1,0.53,0
43,21067,480,6513.97,0,0.29,1
65,40607,586,7935.47,0,0.99,0
38,129419,774,8507.75,1,0.88,0
56,81597,561,38434.06,0,0.9,0
53,146736,822,11135.92,1,0.72,0
50,94554,461,33010.33,0,0.24,1
47,68521,786,19610.1,1,0.61,0
54,132482,480,25579.4,0,0.84,0
40,35187,768,14704.84,1,0.13,1
27,122911,320,43974.8,1,0.55,0
22,23985,574,31376.76,0,0.46,1
53,63052,559,47505.35,1,0.29,0
51,39563,632,30856.83,1,0.44,0
69,67322,765,10575.86,0,0.99,0
48,122842,415,12689.17,1,0.75,1
27,81245,712,49508.33,1,0.37,1
36,71514,836,37650.43,1,0.64,1
49,38608,556,7217.54,1,0.32,0
18,124675,467,36670.15,0,0.65,1
22,87262,832,23547.79,1,0.91,0
62,112118,314,18824.38,1,0.6,1
21,91327,349,11932.74,1,0.76,1
33,77225,603,42795.68,1,0.51,0
41,93994,786,7872.86,0,0.57,0
33,141701,715,18042.6,1,0.73,0
19,37221,604,18787.23,0,0.83,1
66,68506,495,12240.74,0,0.69,1
45,40968,687,27868.32,1,0.98,1
49,147677,754,5526.62,0,0.84,1
44,102606,609,18543.9,1,0.8,1
37,47937,426,47013.32,1,0.86,0
41,82435,474,18973.83,1,0.35,1
29,69508,433,21220.67,0,0.49,0
67,146695,365,26292.43,0,0.61,1
52,61831,692,30276.2,1,0.52,0
50,62933,664,41391.89,0,0.86,0
50,67307,578,13564.46,0,0.12,1
68,68340,662,44228.59,0,0.29,1
60,122951,470,39089.72,0,0.89,1
54,128306,350,37519.27,1,0.15,1
29,106338,627,8906.21,1,0.3,1
20,63601,444,5973.83,1,0.42,0
18,95956,573,31730.57,0,0.78,0
50,92178,454,43841.03,1,0.6,1
57,105311,807,31299.87,1,0.96,1
27,48754,662,14595.57,1,0.31,0
60,63310,624,9073.4,0,0.88,0
61,89893,597,36481.84,0,0.35,1
46,106799,793,37479.66,0,0.32,1
30,140007,845,12763.93,1,0.55,0
29,68367,603,6268.56,1,0.16,0
48,33201,766,23372.76,1,0.45,1
63,22739,538,31222.34,0,0.42,0
19,33231,816,36770.11,1,0.24,0
68,145610,475,41447.53,0,0.87,1
67,127814,709,32474.18,0,0.45,0
52,62495,663,9989.63,0,0.98,0
40,41168,322,35716.18,1,0.91,0
34,52624,617,49287.95,0,0.28,0
43,30635,824,45751.31,1,0.55,1
25,29964,575,44225.1,0,0.64,1
46,47785,528,18597.66,1,0.84,0
43,115046,407,38785.47,0,0.9,0
27,102797,475,43299.66,1,0.66,0
43,104790,619,35524.68,1,0.13,0
51,96928,585,16275.28,0,0.53,1
68,32336,628,47922.53,1,0.9,0
58,97475,655,25286.87,1,0.74,0
24,47412,313,10841.25,0,0.88,1
21,102212,574,9940.01,0,0.71,0
67,95379,370,34138.35,1,0.14,0
62,65591,494,24696.93,0,0.97,1
28,81750,822,9251.77,1,0.93,1
46,110648,405,38316.41,0,0.21,1
53,116134,495,40969.63,0,0.2,1
42,55454,444,37643.7,0,0.59,1
38,118537,649,14101.74,1,0.78,1
53,82672,723,36039.9,0,0.44,0
27,47228,770,5482.53,1,0.22,1
54,34429,515,18730.05,1,0.56,0
26,104294,392,22946.97,0,0.4,1
41,87808,559,42586.11,0,0.42,0
52,102886,840,22567.75,0,0.68,0
66,135577,584,5507.13,0,0.9,0
52,73015,783,20855.59,0,0.6,0
65,108074,671,27451.58,1,0.72,0
53,88936,369,47705.22,0,0.69,1
35,100907,678,47346.54,1,0.6,0
66,77378,578,13139.33,1,0.38,1
56,57310,601,13331.59,0,0.44,1
49,121827,554,12352.17,0,0.38,1
41,103683,563,40501.49,1,0.93,0
40,88827,723,5270.99,1,0.84,1
49,55256,512,10722.97,0,0.62,1
54,96428,399,29208.18,1,0.92,1
29,119862,411,16140.29,1,0.9,0
66,122994,607,9156.04,1,0.93,0
30,58889,774,21194.51,0,0.3,0
40,71428,847,17339.34,1,0.75,0
42,130502,411,27999.69,1,0.65,0
52,57207,386,49065.51,1,0.76,1
58,70255,482,10593.71,0,0.34,1
47,125824,464,21772.7,0,0.73,0
34,111531,389,46939.33,1,0.47,1
66,25409,754,44459.29,1,0.85,0
37,62438,537,22742.2,1,0.82,0
65,130410,833,36452.9,0,0.29,1
42,130238,357,8953.57,0,0.27,1
39,115359,841,37064.35,1,0.75,1
30,27869,701,48778.6,1,0.6,0
36,121260,818,29186.97,1,0.6,0
66,76862,496,27432.06,1,0.78,1
53,107937,345,13429.34,1,0.87,1
29,45958,829,33520.47,1,0.32,0
58,96302,696,31569.68,1,0.6,1
36,39768,373,34336.99,0,0.85,0
29,116330,715,6173.75,0,0.89,0
26,46145,634,29692.56,0,0.36,1
24,95622,595,31772.07,1,0.19,1
45,128739,383,14338.86,0,0.31,1
31,46442,314,14374.98,1,0.95,1
48,101948,433,17429.82,0,0.52,1
69,143585,777,37027.47,0,0.48,0
36,45596,618,32281.97,0,0.11,1
64,95791,691,43059.32,0,0.15,1
33,62406,778,18304.64,0,0.7,0
22,60524,667,46043.06,1,0.63,0
52,43332,666,38466.78,1,0.62,1
29,130160,587,22775.53,0,0.2,0
42,35764,677,9286.79,1,0.42,0
69,47563,762,16564.26,0,0.83,0
38,107675,312,48054.57,0,0.26,0
53,56370,835,18966.35,0,0.89,0
40,25062,467,19845.54,1,0.21,1
33,64645,569,13531.5,0,0.25,1
56,142759,369,41308.28,0,0.53,1
62,27244,617,17403.99,1,0.95,1
59,26372,675,19861.62,0,0.4,0
56,125409,388,23645.66,1,0.69,1
31,146248,556,24517.77,1,0.63,1
48,105501,516,23510.34,1,0.23,0
22,137450,749,27668.47,1,0.32,0
52,84471,843,41653.08,1,0.94,0
40,130533,440,41867.83,1,0.27,0
46,36956,460,40924.09,1,0.73,1
60,60473,331,9550.62,1,0.97,0
28,33894,451,40985.55,1,0.21,1
35,130584,559,10411.33,1,0.46,0
64,118918,578,10612.57,1,0.3,1
29,89586,584,47653.82,1,0.3,0
26,36709,841,41872.9,1,0.21,1
27,101258,447,29858.47,1,0.68,1
61,138428,366,44373.66,1,0.77,0
34,35210,578,49521.41,1,0.71,0
55,69510,742,32478.89,1,0.93,0
24,122081,698,32580.43,0,0.23,1
63,58674,427,38949.22,0,0.39,0
30,145251,636,15446.25,1,0.41,1
57,120025,781,12520.62,1,0.31,0
59,37733,485,39181.13,0,0.23,0
26,40080,468,20520.72,0,0.54,1
67,122200,559,11078.17,1,0.85,0
44,73412,806,19169.5,1,0.96,1
19,144476,820,21138.66,0,0.22,0
22,78971,770,48435.24,1,0.84,1
46,59709,460,36408.19,0,0.84,0
54,79846,588,28888.53,1,0.45,1
55,85480,639,48599.29,0,0.2,0
36,131768,801,45641.29,1,0.99,0
25,72960,405,28040.04,1,0.69,1
